locus_tag	ftype	length_bp	gene	EC_number	COG	product
ENMNMPHH_00001	rRNA	111				5S ribosomal RNA
ENMNMPHH_00002	tRNA	75				tRNA-Asn(gtt)
ENMNMPHH_00003	tRNA	90				tRNA-Ser(gga)
ENMNMPHH_00004	tRNA	75				tRNA-Glu(ttc)
ENMNMPHH_00005	tRNA	76				tRNA-Val(tac)
ENMNMPHH_00006	tRNA	77				tRNA-Met(cat)
ENMNMPHH_00007	tRNA	76				tRNA-Asp(gtc)
ENMNMPHH_00008	tRNA	76				tRNA-Phe(gaa)
ENMNMPHH_00009	tRNA	76				tRNA-Thr(tgt)
ENMNMPHH_00010	tRNA	85				tRNA-Tyr(gta)
ENMNMPHH_00011	tRNA	74				tRNA-Trp(cca)
ENMNMPHH_00012	tRNA	75				tRNA-His(gtg)
ENMNMPHH_00013	tRNA	75				tRNA-Gln(ttg)
ENMNMPHH_00014	tRNA	75				tRNA-Gly(gcc)
ENMNMPHH_00015	tRNA	74				tRNA-Cys(gca)
ENMNMPHH_00016	tRNA	89				tRNA-Leu(taa)
ENMNMPHH_00017	tRNA	84				tRNA-Leu(caa)
ENMNMPHH_00018	CDS	990	xerC_1		COG4974	Tyrosine recombinase XerC
ENMNMPHH_00019	CDS	1266				hypothetical protein
ENMNMPHH_00020	CDS	318				hypothetical protein
ENMNMPHH_00021	CDS	189				hypothetical protein
ENMNMPHH_00022	CDS	687				hypothetical protein
ENMNMPHH_00023	CDS	606	bin3_1			Putative transposon Tn552 DNA-invertase bin3
ENMNMPHH_00024	CDS	570				hypothetical protein
ENMNMPHH_00025	CDS	600	secA_1		COG0653	Protein translocase subunit SecA
ENMNMPHH_00026	CDS	357				hypothetical protein
ENMNMPHH_00027	CDS	279				hypothetical protein
ENMNMPHH_00028	CDS	108				hypothetical protein
ENMNMPHH_00029	CDS	186				hypothetical protein
ENMNMPHH_00030	CDS	630				hypothetical protein
ENMNMPHH_00031	CDS	180				hypothetical protein
ENMNMPHH_00032	CDS	489				hypothetical protein
ENMNMPHH_00033	CDS	558				hypothetical protein
ENMNMPHH_00034	CDS	411				hypothetical protein
ENMNMPHH_00035	CDS	846				hypothetical protein
ENMNMPHH_00036	CDS	159				hypothetical protein
