locus_tag	ftype	length_bp	gene	EC_number	COG	product
BCGMGGEO_00001	CDS	513				hypothetical protein
BCGMGGEO_00002	CDS	1023				hypothetical protein
BCGMGGEO_00003	CDS	579	hin_1		COG1961	DNA-invertase hin
BCGMGGEO_00004	CDS	1530				hypothetical protein
BCGMGGEO_00005	CDS	1191	queE_1	4.3.99.3		7-carboxy-7-deazaguanine synthase
BCGMGGEO_00006	CDS	819	yfkD			putative protein YfkD
BCGMGGEO_00007	CDS	612				hypothetical protein
BCGMGGEO_00008	CDS	1074	chaA		COG0387	Ca(2+)/H(+) antiporter ChaA
BCGMGGEO_00009	CDS	420	ydaG		COG3871	General stress protein 26
BCGMGGEO_00010	CDS	1176	ycaD			putative MFS-type transporter YcaD
BCGMGGEO_00011	CDS	1926	zosA	3.6.3.-	COG2217	Zinc-transporting ATPase
BCGMGGEO_00012	CDS	822				hypothetical protein
BCGMGGEO_00013	CDS	399				hypothetical protein
BCGMGGEO_00014	CDS	474	yfkJ	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
BCGMGGEO_00015	CDS	225				hypothetical protein
BCGMGGEO_00016	CDS	516	yfkM	3.2.-.-	COG0693	General stress protein 18
BCGMGGEO_00017	CDS	711	treR		COG2188	HTH-type transcriptional regulator TreR
BCGMGGEO_00018	CDS	324	sinR_1		COG1396	HTH-type transcriptional regulator SinR
BCGMGGEO_00019	CDS	120				hypothetical protein
BCGMGGEO_00020	CDS	204				hypothetical protein
BCGMGGEO_00021	CDS	327	sinR_2		COG1396	HTH-type transcriptional regulator SinR
BCGMGGEO_00022	CDS	915	psuG	4.2.1.70	COG2313	Pseudouridine-5'-phosphate glycosidase
BCGMGGEO_00023	CDS	1098	psuK	2.7.1.83	COG0524	Pseudouridine kinase
BCGMGGEO_00024	CDS	822	motB		COG1360	Motility protein B
BCGMGGEO_00025	CDS	801	pomA		COG1291	Chemotaxis protein PomA
BCGMGGEO_00026	CDS	378				hypothetical protein
BCGMGGEO_00027	CDS	156				hypothetical protein
BCGMGGEO_00028	CDS	2091	topB_1	5.99.1.2	COG0550	DNA topoisomerase 3
BCGMGGEO_00029	CDS	1191	yfmO			Multidrug efflux protein YfmO
BCGMGGEO_00030	CDS	438	yfmP		COG0789	HTH-type transcriptional regulator YfmP
BCGMGGEO_00031	CDS	669	yvdM	5.4.2.6	COG0637	Beta-phosphoglucomutase
BCGMGGEO_00032	CDS	1233		3.4.11.-		Aminopeptidase 2
BCGMGGEO_00033	CDS	1122				hypothetical protein
BCGMGGEO_00034	CDS	270	acyP	3.6.1.7	COG1254	Acylphosphatase
BCGMGGEO_00035	CDS	402	mscL		COG1970	Large-conductance mechanosensitive channel
BCGMGGEO_00036	CDS	639	yetJ		COG0670	putative protein YetJ
BCGMGGEO_00037	CDS	276				hypothetical protein
BCGMGGEO_00038	CDS	1425	lysN_1	2.6.1.39	COG1167	2-aminoadipate transaminase
BCGMGGEO_00039	CDS	909	yedA			putative inner membrane transporter YedA
BCGMGGEO_00040	CDS	504		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
BCGMGGEO_00041	CDS	936	corA_1		COG0598	Magnesium transport protein CorA
BCGMGGEO_00042	CDS	237				hypothetical protein
BCGMGGEO_00043	CDS	549	sigW_1		COG1595	ECF RNA polymerase sigma factor SigW
BCGMGGEO_00044	CDS	1329	ykvU		COG2244	Sporulation protein YkvU
BCGMGGEO_00045	CDS	633	vraR		COG2197	Response regulator protein VraR
BCGMGGEO_00046	CDS	1047	liaS_1	2.7.13.3	COG4585	Sensor histidine kinase LiaS
BCGMGGEO_00047	CDS	738	liaF		COG4758	Protein LiaF
BCGMGGEO_00048	CDS	648	liaH_1		COG1842	Protein LiaH
BCGMGGEO_00049	CDS	348				hypothetical protein
BCGMGGEO_00050	CDS	1005	ttuC_1	2.7.7.80	COG0476	Sulfur carrier protein adenylyltransferase
BCGMGGEO_00051	CDS	768	thiG	2.8.1.10	COG2022	Thiazole synthase
BCGMGGEO_00052	CDS	204	thiS		COG2104	Sulfur carrier protein ThiS
BCGMGGEO_00053	CDS	1167	thiO_1	1.4.3.19	COG0665	Glycine oxidase
BCGMGGEO_00054	CDS	615	tenI	5.3.99.10	COG0352	Thiazole tautomerase
BCGMGGEO_00055	CDS	1197	gerBC_1			Spore germination protein B3
BCGMGGEO_00056	CDS	1599	gerBA_1			Spore germination protein B1
BCGMGGEO_00057	CDS	1119	yndE_1			Spore germination protein YndE
BCGMGGEO_00058	CDS	1125	yndE_2			Spore germination protein YndE
BCGMGGEO_00059	CDS	243				hypothetical protein
BCGMGGEO_00060	CDS	1140	yfmL	3.6.4.13	COG0513	putative ATP-dependent RNA helicase YfmL
BCGMGGEO_00061	CDS	699	ywaC	2.7.6.5	COG2357	GTP pyrophosphokinase YwaC
BCGMGGEO_00062	CDS	1857			COG1132	putative ABC transporter ATP-binding protein
BCGMGGEO_00063	CDS	1731			COG1132	putative ABC transporter ATP-binding protein
BCGMGGEO_00064	CDS	1623	appA_1			Oligopeptide-binding protein AppA
BCGMGGEO_00065	CDS	927	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
BCGMGGEO_00066	CDS	951	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
BCGMGGEO_00067	CDS	1014	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
BCGMGGEO_00068	CDS	1026	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
BCGMGGEO_00069	CDS	1215	amaA_1	3.5.1.14		N-acyl-L-amino acid amidohydrolase
BCGMGGEO_00070	CDS	1206	amaA_2	3.5.1.14		N-acyl-L-amino acid amidohydrolase
BCGMGGEO_00071	CDS	1350	yclM	2.7.2.4	COG0527	Aspartokinase 3
