locus_tag	ftype	length_bp	gene	EC_number	COG	product
CBFCLOEN_00001	rRNA	2928				23S ribosomal RNA
CBFCLOEN_00002	CDS	534				hypothetical protein
CBFCLOEN_00003	CDS	750				hypothetical protein
CBFCLOEN_00004	CDS	723				hypothetical protein
CBFCLOEN_00005	CDS	570				hypothetical protein
CBFCLOEN_00006	CDS	2109			COG2409	Acyltrehalose exporter MmpL10
CBFCLOEN_00007	CDS	1143	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
CBFCLOEN_00008	CDS	2094	mtlR			Transcriptional regulator MtlR
CBFCLOEN_00009	CDS	1911	mtlA_1		COG2213	PTS system mannitol-specific EIICBA component
CBFCLOEN_00010	CDS	1617	malL_1	3.2.1.10	COG0366	Oligo-1,6-glucosidase
CBFCLOEN_00011	CDS	2097				hypothetical protein
CBFCLOEN_00012	CDS	825	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
CBFCLOEN_00013	CDS	963	araP_1		COG1175	L-arabinose transport system permease protein AraP
CBFCLOEN_00014	CDS	1224	msmE_1		COG1653	Multiple sugar-binding protein
CBFCLOEN_00015	CDS	1527			COG4753	putative response regulatory protein
CBFCLOEN_00016	CDS	1779	btsS_1	2.7.13.3	COG3275	Sensor histidine kinase BtsS
CBFCLOEN_00017	CDS	1458	mtlA_2			PTS system mannitol-specific EIICB component
CBFCLOEN_00018	CDS	1803	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
CBFCLOEN_00019	CDS	126				hypothetical protein
CBFCLOEN_00020	CDS	1350	glmM_1	5.4.2.10	COG1109	Phosphoglucosamine mutase
CBFCLOEN_00021	CDS	1260	cdaR_1		COG4856	CdaA regulatory protein CdaR
CBFCLOEN_00022	CDS	828	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
CBFCLOEN_00023	CDS	624	rsiW		COG5662	Anti-sigma-W factor RsiW
CBFCLOEN_00024	CDS	564	sigW_1		COG1595	ECF RNA polymerase sigma factor SigW
CBFCLOEN_00025	CDS	162				hypothetical protein
CBFCLOEN_00026	CDS	900	rocF	3.5.3.1		Arginase
CBFCLOEN_00027	tRNA	76				tRNA-Ala(tgc)
CBFCLOEN_00028	tRNA	75				tRNA-Gly(gcc)
CBFCLOEN_00029	tRNA	73				tRNA-Lys(ttt)
CBFCLOEN_00030	tRNA	75				tRNA-Gln(ttg)
CBFCLOEN_00031	tRNA	85				tRNA-Tyr(gta)
CBFCLOEN_00032	tRNA	76				tRNA-Thr(tgt)
CBFCLOEN_00033	tRNA	76				tRNA-Val(tac)
CBFCLOEN_00034	tRNA	75				tRNA-Glu(ttc)
CBFCLOEN_00035	tRNA	73				tRNA-Thr(ggt)
CBFCLOEN_00036	tRNA	75				tRNA-Asn(gtt)
CBFCLOEN_00037	rRNA	111				5S ribosomal RNA
CBFCLOEN_00038	CDS	588		5.2.1.8		Putative peptidyl-prolyl cis-trans isomerase
CBFCLOEN_00039	CDS	222				hypothetical protein
CBFCLOEN_00040	CDS	267				hypothetical protein
CBFCLOEN_00041	CDS	375	yugI_1		COG1098	General stress protein 13
CBFCLOEN_00042	CDS	1152	mdoC	2.1.-.-		Glucans biosynthesis protein C
CBFCLOEN_00043	CDS	462	ctsr			Transcriptional regulator CtsR
CBFCLOEN_00044	CDS	549	mcsA		COG3880	Protein-arginine kinase activator protein
CBFCLOEN_00045	CDS	1071	mcsB	2.7.14.1		Protein-arginine kinase
CBFCLOEN_00046	CDS	2442	clpC		COG0542	Negative regulator of genetic competence ClpC/MecB
CBFCLOEN_00047	CDS	1383	radA	3.6.4.-	COG1066	DNA repair protein RadA
CBFCLOEN_00048	CDS	1074	disA	2.7.7.85		DNA integrity scanning protein DisA
CBFCLOEN_00049	CDS	1089	yacL	3.1.-.-	COG4956	putative PIN and TRAM-domain containing protein YacL
CBFCLOEN_00050	CDS	693	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
CBFCLOEN_00051	CDS	483	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
CBFCLOEN_00052	CDS	1458	gltX	6.1.1.17		Glutamate--tRNA ligase
CBFCLOEN_00053	CDS	675	cysE_1	2.3.1.30	COG1045	Serine acetyltransferase
CBFCLOEN_00054	CDS	1398	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
CBFCLOEN_00055	CDS	408	mrnC	3.1.26.-	COG1939	Mini-ribonuclease 3
CBFCLOEN_00056	CDS	744		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
CBFCLOEN_00057	CDS	510	yacP		COG3688	putative protein YacP
CBFCLOEN_00058	CDS	651	sigH		COG1595	RNA polymerase sigma-H factor
CBFCLOEN_00059	CDS	183	secE			Protein translocase subunit SecE
CBFCLOEN_00060	CDS	534	nusG		COG0250	Transcription termination/antitermination protein NusG
CBFCLOEN_00061	CDS	426	rplK		COG0080	50S ribosomal protein L11
CBFCLOEN_00062	CDS	699	rplA			50S ribosomal protein L1
CBFCLOEN_00063	CDS	501	rplJ		COG0244	50S ribosomal protein L10
CBFCLOEN_00064	CDS	363	rplL			50S ribosomal protein L7/L12
CBFCLOEN_00065	CDS	600	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
CBFCLOEN_00066	CDS	3561	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
CBFCLOEN_00067	CDS	3600	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
CBFCLOEN_00068	CDS	249	rplGB		COG1358	Ribosome-associated protein L7Ae-like protein
CBFCLOEN_00069	CDS	423	rpsL_1		COG0048	30S ribosomal protein S12
CBFCLOEN_00070	CDS	471	rpsG_1		COG0049	30S ribosomal protein S7
CBFCLOEN_00071	CDS	2082	fusA		COG0480	Elongation factor G
CBFCLOEN_00072	CDS	1188	tuf		COG0050	Elongation factor Tu
CBFCLOEN_00073	CDS	144				hypothetical protein
CBFCLOEN_00074	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
CBFCLOEN_00075	CDS	627	rplC		COG0087	50S ribosomal protein L3
CBFCLOEN_00076	CDS	624	rplD			50S ribosomal protein L4
CBFCLOEN_00077	CDS	285	rplW		COG0089	50S ribosomal protein L23
CBFCLOEN_00078	CDS	831	rplB		COG0090	50S ribosomal protein L2
CBFCLOEN_00079	CDS	279	rpsS		COG0185	30S ribosomal protein S19
CBFCLOEN_00080	CDS	342	rplV		COG0091	50S ribosomal protein L22
CBFCLOEN_00081	CDS	657	rpsC		COG0092	30S ribosomal protein S3
CBFCLOEN_00082	CDS	435	rplP		COG0197	50S ribosomal protein L16
CBFCLOEN_00083	CDS	201	rpmC		COG0255	50S ribosomal protein L29
CBFCLOEN_00084	CDS	264	rpsQ			30S ribosomal protein S17
CBFCLOEN_00085	CDS	369	rplN		COG0093	50S ribosomal protein L14
CBFCLOEN_00086	CDS	312	rplX			50S ribosomal protein L24
CBFCLOEN_00087	CDS	540	rplE			50S ribosomal protein L5
CBFCLOEN_00088	CDS	186	rpsN1		COG0199	30S ribosomal protein S14
CBFCLOEN_00089	CDS	399	rpsH		COG0096	30S ribosomal protein S8
CBFCLOEN_00090	CDS	537	rplF			50S ribosomal protein L6
CBFCLOEN_00091	CDS	363	rplR		COG0256	50S ribosomal protein L18
CBFCLOEN_00092	CDS	501	rpsE		COG0098	30S ribosomal protein S5
CBFCLOEN_00093	CDS	183	rpmD		COG1841	50S ribosomal protein L30
CBFCLOEN_00094	CDS	441	rplO			50S ribosomal protein L15
CBFCLOEN_00095	CDS	1296	secY			Protein translocase subunit SecY
CBFCLOEN_00096	CDS	651	adk	2.7.4.3		Adenylate kinase
CBFCLOEN_00097	CDS	219	infA		COG0361	Translation initiation factor IF-1
CBFCLOEN_00098	CDS	366	rpsM		COG0099	30S ribosomal protein S13
CBFCLOEN_00099	CDS	390	rpsK		COG0100	30S ribosomal protein S11
CBFCLOEN_00100	CDS	945	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
CBFCLOEN_00101	CDS	363	rplQ		COG0203	50S ribosomal protein L17
CBFCLOEN_00102	CDS	840	ecfA1	3.6.3.-		Energy-coupling factor transporter ATP-binding protein EcfA1
CBFCLOEN_00103	CDS	867	ecfA2	3.6.3.-		Energy-coupling factor transporter ATP-binding protein EcfA2
CBFCLOEN_00104	CDS	798	ecfT_1		COG0619	Energy-coupling factor transporter transmembrane protein EcfT
CBFCLOEN_00105	CDS	741	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
CBFCLOEN_00106	CDS	438	rplM		COG0102	50S ribosomal protein L13
CBFCLOEN_00107	CDS	393	rpsI		COG0103	30S ribosomal protein S9
CBFCLOEN_00108	CDS	1923	adhA_1	1.1.5.5		Alcohol dehydrogenase (quinone), dehydrogenase subunit
CBFCLOEN_00109	CDS	465				hypothetical protein
CBFCLOEN_00110	CDS	240				hypothetical protein
CBFCLOEN_00111	CDS	618	pqqB		COG1235	Coenzyme PQQ synthesis protein B
CBFCLOEN_00112	CDS	729	pqqC	1.3.3.11	COG5424	Pyrroloquinoline-quinone synthase
CBFCLOEN_00113	CDS	342	pqqCD		COG5424	Bifunctional coenzyme PQQ synthesis protein C/D
CBFCLOEN_00114	CDS	1143	mftC_1	2.-.-.-	COG0535	Putative mycofactocin radical SAM maturase MftC
CBFCLOEN_00115	CDS	1245				hypothetical protein
CBFCLOEN_00116	CDS	294				hypothetical protein
CBFCLOEN_00117	CDS	369				hypothetical protein
CBFCLOEN_00118	CDS	1965				hypothetical protein
CBFCLOEN_00119	CDS	1941				hypothetical protein
CBFCLOEN_00120	CDS	1584				hypothetical protein
CBFCLOEN_00121	CDS	255				hypothetical protein
CBFCLOEN_00122	CDS	261				hypothetical protein
CBFCLOEN_00123	CDS	201				hypothetical protein
CBFCLOEN_00124	CDS	513				hypothetical protein
CBFCLOEN_00125	CDS	393				hypothetical protein
CBFCLOEN_00126	CDS	1062				hypothetical protein
CBFCLOEN_00127	CDS	1089	gerBB			Spore germination protein B2
CBFCLOEN_00128	CDS	1482	gerAA_1			Spore germination protein A1
CBFCLOEN_00129	CDS	444				hypothetical protein
CBFCLOEN_00130	CDS	732	cwlD	3.5.1.28	COG0860	Germination-specific N-acetylmuramoyl-L-alanine amidase
CBFCLOEN_00131	CDS	1053	salA		COG0489	Iron-sulfur cluster carrier protein
CBFCLOEN_00132	CDS	558	gerD			Spore germination protein GerD
CBFCLOEN_00133	CDS	690				hypothetical protein
CBFCLOEN_00134	CDS	753	pdaA_1	3.5.1.-	COG0726	Peptidoglycan-N-acetylmuramic acid deacetylase PdaA
CBFCLOEN_00135	CDS	231				hypothetical protein
CBFCLOEN_00136	CDS	6048	yhcR_1	3.1.31.-	COG0737	Endonuclease YhcR
CBFCLOEN_00137	CDS	1167				hypothetical protein
CBFCLOEN_00138	CDS	438				hypothetical protein
CBFCLOEN_00139	CDS	822				hypothetical protein
CBFCLOEN_00140	CDS	1344				hypothetical protein
CBFCLOEN_00141	CDS	1227	tolB			Protein TolB
CBFCLOEN_00142	CDS	198				hypothetical protein
CBFCLOEN_00143	CDS	489	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
CBFCLOEN_00144	CDS	1158	purK_1	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
CBFCLOEN_00145	CDS	1299	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
CBFCLOEN_00146	CDS	714	purC_1	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
CBFCLOEN_00147	CDS	255	purS_1	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
CBFCLOEN_00148	CDS	684	purQ_1	6.3.5.3	COG0047	Phosphoribosylformylglycinamidine synthase subunit PurQ
CBFCLOEN_00149	CDS	2217	purL_1	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
CBFCLOEN_00150	CDS	1404	purF_1	2.4.2.14	COG0034	Amidophosphoribosyltransferase
CBFCLOEN_00151	CDS	1035	purM_1	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
CBFCLOEN_00152	CDS	603	purN_1	2.1.2.2		Phosphoribosylglycinamide formyltransferase
CBFCLOEN_00153	CDS	1539	purH			Bifunctional purine biosynthesis protein PurH
CBFCLOEN_00154	CDS	1272	purD_1	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
CBFCLOEN_00155	CDS	303				hypothetical protein
CBFCLOEN_00156	CDS	1746	yerA	3.5.4.2	COG1001	Putative adenine deaminase YerA
CBFCLOEN_00157	CDS	1044	yerB			Putative lipoprotein YerB
CBFCLOEN_00158	CDS	312				hypothetical protein
CBFCLOEN_00159	CDS	684	pcrB	2.5.1.-	COG1646	Heptaprenylglyceryl phosphate synthase
CBFCLOEN_00160	CDS	2265	pcrA	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
CBFCLOEN_00161	CDS	2007	ligA	6.5.1.2		DNA ligase
CBFCLOEN_00162	CDS	1161				hypothetical protein
CBFCLOEN_00163	CDS	1329	gerXA_1			Spore germination protein XA
CBFCLOEN_00164	CDS	273				hypothetical protein
CBFCLOEN_00165	CDS	1245	ltrA_1		COG3344	Group II intron-encoded protein LtrA
CBFCLOEN_00166	CDS	660	azoR2_1	1.7.-.-	COG1182	FMN-dependent NADH-azoreductase 2
CBFCLOEN_00167	CDS	1404	yjmB_1		COG2211	putative symporter YjmB
CBFCLOEN_00168	CDS	1200	nagC_1		COG1940	N-acetylglucosamine repressor
CBFCLOEN_00169	CDS	1407	uxaC_1	5.3.1.12	COG1904	Uronate isomerase
CBFCLOEN_00170	CDS	1791	uidA_1	3.2.1.31	COG3250	Beta-glucuronidase
CBFCLOEN_00171	CDS	1413	gndA	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating
CBFCLOEN_00172	CDS	1269				hypothetical protein
CBFCLOEN_00173	CDS	771	uxuB_1	1.-.-.-	COG1028	putative oxidoreductase UxuB
CBFCLOEN_00174	CDS	804	larE	2.8.1.-	COG1606	Pyridinium-3,5-biscarboxylic acid mononucleotide sulfurtransferase
CBFCLOEN_00175	CDS	1476	xylB_1	2.7.1.17	COG1070	Xylulose kinase
CBFCLOEN_00176	CDS	777	larB	3.-.-.-	COG1691	Pyridinium-3,5-biscarboxylic acid mononucleotide synthase
CBFCLOEN_00177	CDS	594				hypothetical protein
CBFCLOEN_00178	CDS	993	bioB_1	2.8.1.6		Biotin synthase
CBFCLOEN_00179	CDS	834				hypothetical protein
CBFCLOEN_00180	CDS	141				hypothetical protein
CBFCLOEN_00181	CDS	1125		1.-.-.-		putative oxidoreductase
CBFCLOEN_00182	CDS	156				hypothetical protein
CBFCLOEN_00183	CDS	876	pip	3.4.11.5		Proline iminopeptidase
CBFCLOEN_00184	CDS	1242	kinA_1	2.7.13.3	COG0642	Sporulation kinase A
CBFCLOEN_00185	CDS	1329	bmr3_1			Multidrug resistance protein 3
CBFCLOEN_00186	CDS	1266	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
CBFCLOEN_00187	CDS	723				putative transcriptional regulatory protein
CBFCLOEN_00188	CDS	372				hypothetical protein
CBFCLOEN_00189	CDS	525	ybaK_1	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
CBFCLOEN_00190	CDS	330				hypothetical protein
CBFCLOEN_00191	CDS	405				hypothetical protein
CBFCLOEN_00192	CDS	399				hypothetical protein
CBFCLOEN_00193	CDS	531				hypothetical protein
CBFCLOEN_00194	CDS	603				hypothetical protein
CBFCLOEN_00195	CDS	438	mshD_1	2.3.1.189		Mycothiol acetyltransferase
CBFCLOEN_00196	CDS	234				hypothetical protein
CBFCLOEN_00197	CDS	234				hypothetical protein
CBFCLOEN_00198	CDS	240				hypothetical protein
CBFCLOEN_00199	CDS	678	yedK	3.4.-.-	COG2135	Putative SOS response-associated peptidase YedK
CBFCLOEN_00200	CDS	1272				hypothetical protein
CBFCLOEN_00201	CDS	726	treR		COG2188	HTH-type transcriptional regulator TreR
CBFCLOEN_00202	CDS	1671	treA	3.2.1.93	COG0366	Trehalose-6-phosphate hydrolase
CBFCLOEN_00203	CDS	1425	treB		COG1263	PTS system trehalose-specific EIIBC component
CBFCLOEN_00204	CDS	549				hypothetical protein
CBFCLOEN_00205	CDS	429				hypothetical protein
CBFCLOEN_00206	CDS	372				hypothetical protein
CBFCLOEN_00207	CDS	654				hypothetical protein
CBFCLOEN_00208	CDS	681				hypothetical protein
CBFCLOEN_00209	CDS	1212				hypothetical protein
CBFCLOEN_00210	CDS	519				hypothetical protein
CBFCLOEN_00211	CDS	1089	cotH		COG5337	Inner spore coat protein H
CBFCLOEN_00212	CDS	588				hypothetical protein
CBFCLOEN_00213	CDS	1359	arsB_1		COG1055	Arsenical pump membrane protein
CBFCLOEN_00214	CDS	1506	pyk_1	2.7.1.40		Pyruvate kinase
CBFCLOEN_00215	CDS	1341	dsdA	4.3.1.18	COG3048	D-serine dehydratase
CBFCLOEN_00216	CDS	762	map_1	3.4.11.18	COG0024	Methionine aminopeptidase
CBFCLOEN_00217	CDS	609	mhqD	3.1.-.-	COG0400	Putative hydrolase MhqD
CBFCLOEN_00218	CDS	969	mhqA_1	1.13.11.-	COG0346	Putative ring-cleaving dioxygenase MhqA
CBFCLOEN_00219	CDS	1077				hypothetical protein
CBFCLOEN_00220	CDS	525				hypothetical protein
CBFCLOEN_00221	CDS	1581		1.1.-.-	COG2303	putative GMC-type oxidoreductase
CBFCLOEN_00222	CDS	1482	efeU_1		COG0672	Ferrous iron permease EfeU
CBFCLOEN_00223	CDS	375	efeM_1		COG2822	putative iron uptake system component EfeM
CBFCLOEN_00224	CDS	543				hypothetical protein
CBFCLOEN_00225	CDS	1077				hypothetical protein
CBFCLOEN_00226	CDS	390				hypothetical protein
CBFCLOEN_00227	CDS	3657	icaA_1	2.4.1.-	COG1215	Poly-beta-1,6-N-acetyl-D-glucosamine synthase
CBFCLOEN_00228	CDS	582				hypothetical protein
CBFCLOEN_00229	CDS	513				hypothetical protein
CBFCLOEN_00230	CDS	348				hypothetical protein
CBFCLOEN_00231	CDS	1170	tetA_1			Tetracycline resistance protein, class C
CBFCLOEN_00232	CDS	1635	phnE		COG3639	Phosphate-import permease protein PhnE
CBFCLOEN_00233	CDS	759	glnQ_1		COG1126	Glutamine transport ATP-binding protein GlnQ
CBFCLOEN_00234	CDS	906	phnD1		COG3221	putative ABC transporter phosphite binding protein PhnD1
CBFCLOEN_00235	CDS	219	gerPF_1			putative spore germination protein GerPF
CBFCLOEN_00236	CDS	201	cspLA_1		COG1278	Cold shock-like protein CspLA
CBFCLOEN_00237	CDS	1305	pucK_1		COG2233	Uric acid permease PucK
CBFCLOEN_00238	CDS	594	xpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
