locus_tag	ftype	length_bp	gene	EC_number	COG	product
JOOKCBAM_00001	CDS	396				hypothetical protein
JOOKCBAM_00002	CDS	264				hypothetical protein
JOOKCBAM_00003	CDS	1314	spoIIIE_1		COG1674	DNA translocase SpoIIIE
JOOKCBAM_00004	CDS	225				hypothetical protein
JOOKCBAM_00005	CDS	393				hypothetical protein
JOOKCBAM_00006	CDS	189				hypothetical protein
JOOKCBAM_00007	CDS	708	cwlC_1	3.5.1.28	COG0860	Sporulation-specific N-acetylmuramoyl-L-alanine amidase
JOOKCBAM_00008	CDS	255				hypothetical protein
JOOKCBAM_00009	CDS	1050				hypothetical protein
JOOKCBAM_00010	CDS	1971	ata			Adhesin Ata autotransporter
JOOKCBAM_00011	CDS	270				hypothetical protein
JOOKCBAM_00012	CDS	903				hypothetical protein
JOOKCBAM_00013	CDS	663				hypothetical protein
JOOKCBAM_00014	CDS	1056				hypothetical protein
JOOKCBAM_00015	CDS	441				hypothetical protein
JOOKCBAM_00016	CDS	282				hypothetical protein
JOOKCBAM_00017	CDS	1416	pgdS	3.4.19.-	COG0791	Gamma-DL-glutamyl hydrolase
JOOKCBAM_00018	CDS	657	ygaU		COG1652	putative protein YgaU
JOOKCBAM_00019	CDS	1572				hypothetical protein
JOOKCBAM_00020	CDS	393	yqbN			putative protein YqbN
JOOKCBAM_00021	CDS	426	xkdM			Phage-like element PBSX protein XkdM
JOOKCBAM_00022	CDS	1050				hypothetical protein
JOOKCBAM_00023	CDS	462				hypothetical protein
JOOKCBAM_00024	CDS	402				hypothetical protein
JOOKCBAM_00025	CDS	318				hypothetical protein
JOOKCBAM_00026	CDS	387				hypothetical protein
JOOKCBAM_00027	CDS	225				hypothetical protein
JOOKCBAM_00028	CDS	1089				hypothetical protein
JOOKCBAM_00029	CDS	708				hypothetical protein
JOOKCBAM_00030	CDS	876				hypothetical protein
JOOKCBAM_00031	CDS	1545				hypothetical protein
JOOKCBAM_00032	CDS	936	yhdJ	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
JOOKCBAM_00033	CDS	771				hypothetical protein
JOOKCBAM_00034	CDS	1650				hypothetical protein
JOOKCBAM_00035	CDS	192				hypothetical protein
JOOKCBAM_00036	CDS	525	xerC_1		COG4973	Tyrosine recombinase XerC
JOOKCBAM_00037	CDS	183				hypothetical protein
JOOKCBAM_00038	CDS	390				hypothetical protein
JOOKCBAM_00039	CDS	864				hypothetical protein
JOOKCBAM_00040	CDS	252				hypothetical protein
JOOKCBAM_00041	CDS	285				hypothetical protein
