locus_tag	ftype	length_bp	gene	EC_number	COG	product
JNECGHPE_00001	CDS	2505	cphE_1	3.4.15.6		Cyanophycinase
JNECGHPE_00002	CDS	321				hypothetical protein
JNECGHPE_00003	CDS	2055	atoC_1		COG2204	Regulatory protein AtoC
JNECGHPE_00004	CDS	1419				hypothetical protein
JNECGHPE_00005	CDS	1173	iadA_1	3.4.19.-		Isoaspartyl dipeptidase
JNECGHPE_00006	CDS	1221	cphE_2	3.4.15.6		Cyanophycinase
JNECGHPE_00007	CDS	459	mutX_1	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
JNECGHPE_00008	CDS	885	yvcJ		COG1660	Nucleotide-binding protein YvcJ
JNECGHPE_00009	CDS	987			COG0391	Gluconeogenesis factor
JNECGHPE_00010	CDS	951	whiA		COG1481	Sporulation transcription regulator WhiA
JNECGHPE_00011	CDS	258	crh		COG1925	HPr-like protein Crh
JNECGHPE_00012	CDS	594	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
JNECGHPE_00013	CDS	969	ccpB_1			Catabolite control protein B
JNECGHPE_00014	CDS	1440	bglH	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
JNECGHPE_00015	tRNA	75				tRNA-Arg(ccg)
JNECGHPE_00016	CDS	153				hypothetical protein
JNECGHPE_00017	CDS	294				hypothetical protein
JNECGHPE_00018	CDS	303	celA_1	2.7.1.205		PTS system cellobiose-specific EIIB component
JNECGHPE_00019	CDS	1356	licC_1		COG1455	Lichenan permease IIC component
JNECGHPE_00020	CDS	327	licA_1		COG1447	Lichenan-specific phosphotransferase enzyme IIA component
JNECGHPE_00021	CDS	303	celA_2	2.7.1.205		PTS system cellobiose-specific EIIB component
JNECGHPE_00022	CDS	1356	licC_2		COG1455	Lichenan permease IIC component
JNECGHPE_00023	CDS	321	licA_2		COG1447	Lichenan-specific phosphotransferase enzyme IIA component
JNECGHPE_00024	CDS	1338	licH_1	3.2.1.86	COG1486	putative 6-phospho-beta-glucosidase
JNECGHPE_00025	CDS	717	chbG_1	3.5.1.105	COG3394	Chitooligosaccharide deacetylase ChbG
JNECGHPE_00026	CDS	2712	dgaR			Transcriptional regulatory protein DagR
JNECGHPE_00027	CDS	1302	rpoN		COG1508	RNA polymerase sigma-54 factor
JNECGHPE_00028	CDS	240				hypothetical protein
JNECGHPE_00029	CDS	1068	cggR		COG2390	Central glycolytic genes regulator
JNECGHPE_00030	CDS	1008	gap1	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 1
JNECGHPE_00031	CDS	1182	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
JNECGHPE_00032	CDS	756	tpiA	5.3.1.1		Triosephosphate isomerase
JNECGHPE_00033	CDS	1533	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
JNECGHPE_00034	CDS	1296	eno	4.2.1.11	COG0148	Enolase
JNECGHPE_00035	CDS	1242				hypothetical protein
JNECGHPE_00036	CDS	402				hypothetical protein
JNECGHPE_00037	CDS	327				hypothetical protein
JNECGHPE_00038	CDS	402				hypothetical protein
JNECGHPE_00039	CDS	150				hypothetical protein
JNECGHPE_00040	CDS	201				hypothetical protein
JNECGHPE_00041	CDS	576	sigO			RNA polymerase sigma factor SigO
