locus_tag	ftype	length_bp	gene	EC_number	COG	product
FHOFBOCF_00001	CDS	474				hypothetical protein
FHOFBOCF_00002	CDS	561	vat	2.3.1.-		Virginiamycin A acetyltransferase
FHOFBOCF_00003	CDS	1368	mepA			Multidrug export protein MepA
FHOFBOCF_00004	CDS	1485	dacC	3.4.16.4	COG2027	D-alanyl-D-alanine carboxypeptidase DacC
FHOFBOCF_00005	CDS	987	pemA	3.1.1.11	COG4677	Pectinesterase A
FHOFBOCF_00006	CDS	702				hypothetical protein
FHOFBOCF_00007	CDS	1485	gltB	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
FHOFBOCF_00008	CDS	4572	gltA_1	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
FHOFBOCF_00009	CDS	903	gltC_1			HTH-type transcriptional regulator GltC
FHOFBOCF_00010	CDS	1734			COG1132	putative ABC transporter ATP-binding protein
FHOFBOCF_00011	CDS	1830			COG1132	putative ABC transporter ATP-binding protein
FHOFBOCF_00012	CDS	840	bmrR_1		COG0789	Multidrug-efflux transporter 1 regulator
FHOFBOCF_00013	CDS	570				hypothetical protein
FHOFBOCF_00014	CDS	1269	proA_1	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
FHOFBOCF_00015	CDS	1119	proB_1	2.7.2.11	COG0263	Glutamate 5-kinase 1
FHOFBOCF_00016	CDS	798	proC_1	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
FHOFBOCF_00017	CDS	1197	yjiB	1.14.-.-	COG2124	Putative cytochrome P450 YjiB
FHOFBOCF_00018	CDS	2043	dmsA	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
FHOFBOCF_00019	CDS	687	xynA	3.2.1.8		Endo-1,4-beta-xylanase A
FHOFBOCF_00020	CDS	1500	xylB_1	2.7.1.17	COG1070	Xylulose kinase
FHOFBOCF_00021	CDS	1338	xylA	5.3.1.5		Xylose isomerase
FHOFBOCF_00022	CDS	1161	nagC		COG1940	N-acetylglucosamine repressor
FHOFBOCF_00023	CDS	1608	xynB	3.2.1.37		Beta-xylosidase
FHOFBOCF_00024	CDS	1392	xylP			Isoprimeverose transporter
FHOFBOCF_00025	CDS	333	csaA		COG0073	putative chaperone CsaA
FHOFBOCF_00026	CDS	480				hypothetical protein
FHOFBOCF_00027	CDS	1632				hypothetical protein
FHOFBOCF_00028	CDS	609				hypothetical protein
FHOFBOCF_00029	CDS	843				hypothetical protein
FHOFBOCF_00030	CDS	573				hypothetical protein
FHOFBOCF_00031	CDS	720	yflN	3.-.-.-	COG0491	putative metallo-hydrolase YflN
FHOFBOCF_00032	CDS	474				hypothetical protein
FHOFBOCF_00033	CDS	933	pafC		COG2378	Protein PafC
FHOFBOCF_00034	CDS	525				Protein csk22
FHOFBOCF_00035	CDS	330	czrA		COG0640	HTH-type transcriptional repressor CzrA
FHOFBOCF_00036	CDS	1326	puuP		COG0531	Putrescine importer PuuP
FHOFBOCF_00037	CDS	663				hypothetical protein
FHOFBOCF_00038	CDS	918	prpB	4.1.3.30	COG2513	2-methylisocitrate lyase
FHOFBOCF_00039	CDS	1437	prpD	4.2.1.79	COG2079	2-methylcitrate dehydratase
FHOFBOCF_00040	CDS	1143	mmgD	2.3.3.5	COG0372	2-methylcitrate synthase
FHOFBOCF_00041	CDS	540				hypothetical protein
FHOFBOCF_00042	CDS	507				hypothetical protein
FHOFBOCF_00043	CDS	792	yocH_1		COG1388	Cell wall-binding protein YocH
FHOFBOCF_00044	CDS	1782	recQ_1	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
FHOFBOCF_00045	CDS	501	yocK_1		COG1734	General stress protein 16O
FHOFBOCF_00046	CDS	648	yhfK	4.-.-.-	COG0702	putative sugar epimerase YhfK
FHOFBOCF_00047	CDS	360				hypothetical protein
FHOFBOCF_00048	CDS	141				hypothetical protein
FHOFBOCF_00049	CDS	213				hypothetical protein
FHOFBOCF_00050	CDS	1485	styD	1.2.1.39		Phenylacetaldehyde dehydrogenase
FHOFBOCF_00051	CDS	1875	sqhC	4.2.1.137	COG1657	Sporulenol synthase
FHOFBOCF_00052	CDS	822	sodA_1	1.15.1.1	COG0605	Superoxide dismutase [Mn/Fe]
FHOFBOCF_00053	CDS	957	panS		COG0385	Pantothenate precursors transporter PanS
FHOFBOCF_00054	CDS	1257	odhB	2.3.1.61		Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
FHOFBOCF_00055	CDS	2835	odhA	1.2.4.2		2-oxoglutarate dehydrogenase E1 component
FHOFBOCF_00056	CDS	1917				hypothetical protein
FHOFBOCF_00057	CDS	879	nirQ		COG0714	Denitrification regulatory protein NirQ
FHOFBOCF_00058	CDS	579	yojM		COG2032	Superoxide dismutase-like protein YojM
FHOFBOCF_00059	CDS	1311	cwlS	3.4.19.11	COG0791	D-gamma-glutamyl-meso-diaminopimelic acid endopeptidase CwlS
FHOFBOCF_00060	CDS	627	cdaS	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaS
FHOFBOCF_00061	CDS	126				hypothetical protein
FHOFBOCF_00062	CDS	1362	norM		COG0534	Multidrug resistance protein NorM
FHOFBOCF_00063	CDS	666	bshB2	3.5.1.-	COG2120	putative N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 2
FHOFBOCF_00064	CDS	351	yojF			putative protein YojF
FHOFBOCF_00065	CDS	282				hypothetical protein
FHOFBOCF_00066	CDS	903	rarD		COG2962	Protein RarD
FHOFBOCF_00067	CDS	474	gerT			Spore germination protein GerT
FHOFBOCF_00068	CDS	222				hypothetical protein
FHOFBOCF_00069	CDS	333	yodB_1		COG1733	HTH-type transcriptional regulator YodB
FHOFBOCF_00070	CDS	618	yodC_1	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YodC
FHOFBOCF_00071	CDS	204				hypothetical protein
FHOFBOCF_00072	CDS	1494	yodF		COG0591	putative symporter YodF
FHOFBOCF_00073	CDS	1386	ctpA	3.4.21.102	COG0793	Carboxy-terminal processing protease CtpA
FHOFBOCF_00074	CDS	699	bioC	2.1.1.197		Malonyl-[acyl-carrier protein] O-methyltransferase
