locus_tag	ftype	length_bp	gene	EC_number	COG	product
KDFLAJEE_00001	tRNA	74				tRNA-Glu(ttc)
KDFLAJEE_00002	CDS	945	ldh1_1	1.1.1.27	COG0039	L-lactate dehydrogenase 1
KDFLAJEE_00003	CDS	4224	vpr_1	3.4.21.-	COG1404	Minor extracellular protease vpr
KDFLAJEE_00004	CDS	615	tasA_1			Spore coat-associated protein N
KDFLAJEE_00005	CDS	1938	glgB	2.4.1.18		1,4-alpha-glucan branching enzyme GlgB
KDFLAJEE_00006	CDS	1131	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
KDFLAJEE_00007	CDS	1035	glgD		COG0448	Glycogen biosynthesis protein GlgD
KDFLAJEE_00008	CDS	1431	glgA	2.4.1.21	COG0297	Glycogen synthase
KDFLAJEE_00009	CDS	2409	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
KDFLAJEE_00010	CDS	135				hypothetical protein
KDFLAJEE_00011	CDS	723				hypothetical protein
KDFLAJEE_00012	CDS	774	mta_1		COG0789	HTH-type transcriptional activator mta
KDFLAJEE_00013	CDS	783				putative protein
KDFLAJEE_00014	CDS	201	cspD_1		COG1278	Cold shock-like protein CspD
KDFLAJEE_00015	CDS	732	yocK		COG1734	General stress protein 16O
KDFLAJEE_00016	CDS	954	menA_1	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
KDFLAJEE_00017	CDS	1395	pchA	5.4.4.2	COG1169	Salicylate biosynthesis isochorismate synthase
KDFLAJEE_00018	CDS	1755	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
KDFLAJEE_00019	CDS	813		3.5.1.29		2-(acetamidomethylene)succinate hydrolase
KDFLAJEE_00020	CDS	819	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
KDFLAJEE_00021	CDS	1446	menE_1	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
KDFLAJEE_00022	CDS	1107	menC	4.2.1.113	COG4948	o-succinylbenzoate synthase
KDFLAJEE_00023	CDS	699	walR_1		COG0745	Transcriptional regulatory protein WalR
KDFLAJEE_00024	CDS	1107	resE_1	2.7.13.3		Sensor histidine kinase ResE
KDFLAJEE_00025	CDS	861	vanY	3.4.16.4		D-alanyl-D-alanine carboxypeptidase
KDFLAJEE_00026	CDS	603				hypothetical protein
KDFLAJEE_00027	CDS	291				hypothetical protein
KDFLAJEE_00028	CDS	1101		3.1.1.-	COG3964	Deacetylase
KDFLAJEE_00029	CDS	1104	dgaE	4.3.1.29		D-glucosaminate-6-phosphate ammonia lyase
KDFLAJEE_00030	CDS	756	dgaF	4.1.2.14		2-dehydro-3-deoxy-phosphogluconate aldolase
KDFLAJEE_00031	CDS	1017	kdgK	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
KDFLAJEE_00032	CDS	726	dasR		COG2188	HTH-type transcriptional repressor DasR
KDFLAJEE_00033	CDS	1326	idnT		COG2610	Gnt-II system L-idonate transporter
KDFLAJEE_00034	CDS	672				hypothetical protein
KDFLAJEE_00035	CDS	594	betI		COG1309	HTH-type transcriptional regulator BetI
KDFLAJEE_00036	CDS	192				hypothetical protein
KDFLAJEE_00037	CDS	1974	yxdM_1			ABC transporter permease protein YxdM
KDFLAJEE_00038	CDS	753	yxdL_1		COG1136	ABC transporter ATP-binding protein YxdL
KDFLAJEE_00039	CDS	1962	yxdM_2			ABC transporter permease protein YxdM
KDFLAJEE_00040	CDS	1974	yxdM_3			ABC transporter permease protein YxdM
KDFLAJEE_00041	CDS	1023	graS_1	2.7.13.3	COG0642	Sensor histidine kinase GraS
KDFLAJEE_00042	CDS	696	graR_1		COG0745	Response regulator protein GraR
KDFLAJEE_00043	CDS	273	sdpR_1		COG0640	Transcriptional repressor SdpR
KDFLAJEE_00044	CDS	639	sdpI_1		COG5658	Immunity protein SdpI
KDFLAJEE_00045	CDS	873	tetD_1			Transposon Tn10 TetD protein
KDFLAJEE_00046	CDS	771	bceA_1		COG1136	Bacitracin export ATP-binding protein BceA
KDFLAJEE_00047	CDS	1950	bceB_1		COG0577	Bacitracin export permease protein BceB
KDFLAJEE_00048	CDS	579	rsmA_1	2.1.1.-		Ribosomal RNA small subunit methyltransferase A
KDFLAJEE_00049	CDS	591	dedA_1		COG0586	Protein DedA
KDFLAJEE_00050	CDS	972				hypothetical protein
KDFLAJEE_00051	CDS	147				hypothetical protein
KDFLAJEE_00052	CDS	723				hypothetical protein
KDFLAJEE_00053	CDS	510				hypothetical protein
KDFLAJEE_00054	CDS	903	bmrU	2.7.1.-	COG1597	Putative lipid kinase BmrU
KDFLAJEE_00055	CDS	552	hpt_1	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
KDFLAJEE_00056	CDS	216				hypothetical protein
KDFLAJEE_00057	CDS	333				hypothetical protein
KDFLAJEE_00058	CDS	489				hypothetical protein
